Dport,DstAddr,Classification,TotBytes,CumBytes,Percent
0,21,0,86.0,86.0,0.0
0,22,0,229.33333333333334,229.33333333333334,0.0
0,23,0,188.6237113402062,188.6237113402062,0.0
0,25,0,255.75782155272307,255.75782155272307,0.0
0,42,0,125.0,125.0,0.0
0,57,0,258.0,258.0,0.0
0,71,0,383.4015215553677,383.4015215553677,0.0
0,72,0,306.1792588336685,306.1792588336685,0.0
0,73,0,78.0,78.0,0.0
0,75,0,93.55217831813576,93.55217831813576,0.0
0,81,0,86.0,86.0,0.0
0,82,0,86.0,86.0,0.0
0,84,0,86.0,86.0,0.0
0,85,0,86.0,86.0,0.0
0,86,0,86.0,86.0,0.0
0,87,0,86.0,86.0,0.0
0,88,0,86.0,86.0,0.0
0,89,0,86.0,86.0,0.0
0,90,0,78.0,78.0,0.0
0,91,0,78.0,78.0,0.0
0,92,0,78.0,78.0,0.0
0,93,0,78.0,78.0,0.0
0,94,0,78.0,78.0,0.0
0,95,0,80.0,80.0,0.0
0,97,0,78.0,78.0,0.0
0,98,0,86.0,86.0,0.0
0,99,0,78.0,78.0,0.0
0,101,0,78.0,78.0,0.0
0,102,0,82.0,82.0,0.0
0,105,0,78.0,78.0,0.0
4,14,0,240.43243243243242,240.43243243243242,0.0
4,21,0,231.53333333333333,231.53333333333333,0.0
4,22,0,202.41724137931035,202.41724137931035,0.0
4,29,0,242.7029702970297,242.7029702970297,0.0
67,70,0,488.57969987002247,488.57969987002247,0.0
80,120,0,3873.5,7341.5,0.47238302799155485
80,126,0,3088023.5,8245833.5,0.6255049898836789
80,127,0,2009699.3333333333,6114484.666666667,0.671321551546399
80,131,0,5159578.0,7165946.0,0.2799864805009694
80,133,1,1546.0,1546.0,1.0
80,134,1,2296.0,2296.0,1.0
80,135,0,320.0,1309.0,0.7555385790679908
80,140,0,124.0,124.0,0.0
80,141,0,1598.0,1598.0,0.0
80,143,0,1120.0,1120.0,0.0
80,144,0,2296.0,2296.0,0.0
80,145,0,1021.0,1021.0,0.0
80,148,1,1133.0,1133.0,1.0
135,11,0,602.6317228805834,602.6317228805834,0.0
135,22,0,886.8780658724597,886.8780658724597,0.0
135,123,0,1799.7333333333333,3574.059574468085,0.4964456255318068
137,0,0,276.0,276.0,0.0
137,1,0,276.0,276.0,0.0
137,2,0,276.0,276.0,0.0
137,3,0,276.0,276.0,0.0
137,4,0,276.0,276.0,0.0
137,5,0,276.0,276.0,0.0
137,26,0,582.0,582.0,0.0
137,41,0,276.0,276.0,0.0
137,45,0,276.0,276.0,0.0
137,51,0,276.0,276.0,0.0
137,56,0,474.0,474.0,0.0
137,59,0,276.0,276.0,0.0
137,62,0,276.0,276.0,0.0
137,69,0,2061.116696490021,2061.116696490021,0.0
137,80,0,276.0,276.0,0.0
137,83,0,569.8554778554778,569.8554778554778,0.0
137,96,0,238.66666666666666,238.66666666666666,0.0
137,104,0,1150.5,1150.5,0.0
138,69,0,246.07225258044932,246.07225258044932,0.0
138,83,0,310.9110320284698,310.9110320284698,0.0
138,104,0,1024.0,1024.0,0.0
251,26,0,261.0,261.0,0.0
256,0,0,120.0,120.0,0.0
256,1,0,120.0,120.0,0.0
256,2,0,120.0,120.0,0.0
256,3,0,120.10231425091352,120.10231425091352,0.0
256,4,0,120.0,120.0,0.0
256,5,0,120.0,120.0,0.0
256,6,0,120.13641900121803,120.13641900121803,0.0
256,8,0,120.0,120.0,0.0
256,46,0,120.0,120.0,0.0
256,47,0,120.0,120.0,0.0
256,48,0,120.0,120.0,0.0
256,49,0,120.0,120.0,0.0
256,100,0,120.0,120.0,0.0
443,6,0,5543.827398497039,11042.369978239778,0.4979494973070301
443,124,0,396.0,396.0,0.0
443,125,0,153858.0,327228.2857142857,0.5298144851257183
443,128,0,68950.25,68950.25,0.0
443,129,0,147231.0,233958.23076923075,0.3706953608089807
443,130,0,209829.5,209829.5,0.0
443,132,1,238381.6,238381.6,1.0
443,136,1,124578.4,124578.4,1.0
443,137,1,132033.5,132033.5,1.0
443,142,0,237907.2,237907.2,0.0
443,146,1,17640.0,17640.0,1.0
443,147,1,296129.0,296129.0,1.0
449,7,0,261.0,261.0,0.0
461,9,0,160.0,160.0,0.0
490,7,0,261.0,261.0,0.0
512,0,0,120.0,120.0,0.0
512,1,0,120.0,120.0,0.0
512,2,0,120.0,120.0,0.0
512,3,0,120.0,120.0,0.0
512,4,0,120.0,120.0,0.0
512,5,0,120.0,120.0,0.0
512,6,0,120.0,120.0,0.0
512,8,0,120.0,120.0,0.0
512,46,0,120.0,120.0,0.0
512,47,0,120.0,120.0,0.0
512,48,0,120.0,120.0,0.0
512,49,0,120.0,120.0,0.0
512,100,0,120.0,120.0,0.0
